,tweet_id,sentiment,text
0,2.49298288367526e+17,positive,"""I am done writing code for the week! Looks like we have developed a good a** game for the show Revenge on ABC Sunday, Premeres 09/30/12 9pm"""
1,2.82031301962396e+17,neutral,dec 21st 2012 will be know not as the end of the world but the Baby Boom! #2012shit
2,2.20880422320603e+17,negative,"""[someone] hate my life, because i cannot see you at the roskilde festival on saturday, promise me to come back again, SOON."""
3,2.2400091563452e+17,positive,Checked out Our Lady Peace at Bluesfest tonight and spending the day at the beach for HOPE volleyball tomorrow. Gotta love summer weekends!
4,2.55713054224949e+17,positive,Hello from the Foundation Trekkers! we are up in chilly Haltwhistle getting ready to trek Hadrian's wall tomorrow :-)
5,2.6740412721306e+17,positive,Tomorrow we will be proud to play at the Remembrance Service at South Hetton church
6,2.66350263764394e+17,negative,Impulsively bought Resident Evil: Operation Raccoon City. Probably will not play it till tomorrow though. Have so much editing to do with 06.
7,2.29523369538769e+17,neutral,"""Just arriving in madrid from Moscow Tomorrow going to HVar, Croatia"""
8,2.43174308720022e+17,positive,nataaashaAnn where you been? do not forget about Stratford weekend in Grand Bend Aug 10 (it is free!) Yn4j
9,2.17972854719906e+17,positive,"""Cainer was given a Key to the City of SF. June 13th will also forever be known as """"""""Matt Cain Day."""""""" #SFGiants #PerfectCain"""
10,2.53303104345346e+17,positive,Knowing that [someone] is at Rum Runners right now makes it hard for me to control my excitement for tomorrow! #FarmTour
11,2.56667211803009e+17,neutral,Just packing for a weekend in Liverpool and the small matter of a marathon on Sunday. First up though...Blackpool Illuminations!
12,2.23365454452892e+17,negative,"""Your plans of attending the Great Yorkshire Show may have been washed out because of the weather, so how about..."
13,2.12138200385331e+17,neutral,"""By the end of today I will have worked 14hrs, done my workout and attended part of Hot Jam. Hitting the ground running this Monday."""
14,2.78353426096738e+17,neutral,Check out this weeks the [someone] Scoop column looking back on Sat Nights win over the Thunder!
15,2.44043385944539e+17,positive,"""Three day weekend a head. Tonight Grand Bend forracing, Saturday Grand Bend with the inlaws more racing. Sunday first #Sting game for us."""
16,2.48007329658835e+17,positive,Have you been inspired by Ironman Wales? Why not give triathlon a go by taking part in the Fishguard Go Tri on Sunday.
17,2.71997775552586e+17,neutral,"""Everyone's out Black Friday shopping talking about what deals they got and I am just over here like """"""""Hey I am eating Thanksgiving leftovers!""""""""."""
18,2.78528076445524e+17,positive,I have found lyrics of Kiryu - Kaika!!! YES!!! but I have sat down to listen a song and write it already...))
19,2.39496123524469e+17,neutral,"""Jonathan Kozol is the leading author on educational advocacy and social equality. He will be on campus Wednesday,..."
20,2.21521873408766e+17,negative,[someone] [someone] that is the 1st.2nd: Nadia &amp; Mysa about Mysa break dgn Adam. 3rd: this bullshit thingy -.-
21,2.40117467488326e+17,positive,"""Thanks to all those who joined UYSA and the University of Utah in celebrating Youth Soccer Month last Saturday,..."
22,2.85609537480827e+17,positive,"""[someone] Well it was either that or watch you play Raccoon City, so.. I think I may have won?"""
23,2.12368940607873e+17,negative,"""I was not around for Hot Jam, why is it even on a monday"""
24,2.35090580248609e+17,neutral,[someone] performing at the Kee on August 18th? Is this real life? Betches retreat ... #thisisourchance
25,2.5438801976585e+17,positive,"""Day 1 at the SoCal College Fair @ Pomona Fairplex--1st person to get to our booth &amp; say """"""""your story matters"""""""" wins something special! #doit"""
26,2.57853772624196e+17,neutral,"""De La Soul's First Serve project with Live Band debuts this Thu 18th in Meeting House Square, ONRA supports on MPC"
27,2.78964993221861e+17,neutral,[someone] I just googled it haha Catelynn and Tyler met first and butch and April have been married but they got divorced
28,2.5181992783564e+17,positive,"""Mertesacker is first choice for me, Koscielny and Vermalen should fight for the other spot tomorrow. He just compliments the 2 brilliantly."""
29,2.18234337097826e+17,neutral,Anybody going to that 4th of July pool party in Knollwood?
